City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Kudahuvadhoo,MV,2.6708,72.8944,82.44,75,99,15.12,overcast clouds
311,Yazman,PK,29.1212,71.7446,85.42,74,99,1.83,overcast clouds
312,Ravar,IR,31.2656,56.8055,87.85,10,0,4.94,clear sky
313,Vao,NC,-22.6667,167.4833,74.48,88,86,23.82,light rain
314,Balikpapan,ID,-1.2675,116.8289,76.19,100,20,3.44,few clouds
315,Urumqi,CN,43.801,87.6005,81.55,26,0,6.71,clear sky
316,Digras,IN,20.1167,77.7167,74.88,88,100,11.25,moderate rain
317,Chapais,CA,49.7834,-74.8492,74.98,50,72,10.29,broken clouds
318,Galveston,US,29.3669,-94.9669,93.04,66,0,8.05,clear sky
319,Kokkola,FI,63.8385,23.1307,64.92,92,0,1.14,clear sky
320,Howard Springs,AU,-12.497,131.047,60.71,96,19,6.46,few clouds
321,Tapel,PH,18.2891,122.0292,79.38,83,17,3.18,few clouds
322,Jacareacanga,BR,-6.2222,-57.7528,84.54,44,61,3.2,broken clouds
323,Vikhorevka,RU,56.1201,101.1636,62.19,86,100,1.52,overcast clouds
324,Chernukha,RU,55.5974,43.7556,59.07,86,5,4.29,clear sky
325,Hualmay,PE,-11.0964,-77.6139,63.91,77,35,8.63,scattered clouds
326,Roald,NO,62.5833,6.1333,56.34,87,40,16.11,scattered clouds
327,San Vicente,AR,-26.6167,-54.1333,62.85,78,98,2.8,overcast clouds
328,Lorengau,PG,-2.0226,147.2712,82.42,79,28,10.4,scattered clouds
329,Samarai,PG,-10.6167,150.6667,80.08,79,31,4.23,scattered clouds
330,Rio Grande,BR,-32.035,-52.0986,62.71,99,100,7.16,overcast clouds
331,Vanimo,PG,-2.6741,141.3028,78.33,85,61,4.32,broken clouds
332,Zheleznodorozhnyy,RU,55.7503,38.0042,66.61,77,0,4.34,clear sky
333,Peleduy,RU,59.6289,112.7406,65.66,76,91,3.38,overcast clouds
334,Honolulu,US,21.3069,-157.8583,84.02,63,40,19.57,scattered clouds
335,Baruun-Urt,MN,46.6806,113.2792,61.99,58,100,7.09,overcast clouds
336,Guerrero Negro,MX,27.9769,-114.0611,76.41,57,24,20.69,few clouds
337,San Miguel,SV,13.4833,-88.1833,89.26,74,40,5.75,scattered clouds
338,Tari,NG,12.4086,4.4914,82.44,67,100,8.59,overcast clouds
339,Ginda,IN,30.6945,78.4932,66.99,96,100,0.92,overcast clouds
340,Tam Ky,VN,15.5667,108.4833,75.16,90,83,2.75,broken clouds
341,Artyom,AZ,40.4723,50.333,77.14,82,0,23.71,clear sky
342,Yaring,TH,6.8662,101.3689,76.93,90,86,4.21,overcast clouds
343,Arica,CL,-18.475,-70.3042,62.15,72,100,9.22,overcast clouds
344,Broken Hill,AU,-31.95,141.4333,53.15,74,99,7.27,light rain
